2651.67 (35.26),2518.33 (0.94),1470.67 (7.54),2352.67 (0.47),2227.33 (7.32),2467.33 (20.68),2712.67 (6.13),2185.0 (19.82),2749.67 (0.94)
2530.0 (8.16),2507.33 (6.8),1467.0 (14.24),2285.0 (1.41),2268.0 (4.24),1762.0 (0.82),2571.67 (1.89),2193.0 (8.83),2616.0 (9.9)
7182.0 (19.65),7193.67 (36.55),4602.33 (2.05),5683.0 (1.41),5359.33 (3.09),6597.33 (16.05),6794.33 (8.96),4526.67 (43.93),7109.67 (0.94)
6920.33 (18.87),7064.67 (15.46),4663.33 (57.33),5669.0 (14.14),5275.67 (4.5),5146.0 (123.01),6499.67 (10.87),4541.67 (31.41),6972.67 (0.94)
14306.67 (44.92),15019.33 (72.36),8766.0 (29.7),13273.33 (3.68),12992.0 (8.52),13061.67 (123.78),15027.67 (70.21),8325.67 (156.94),15733.0 (133.22)
12709.33 (32.74),13612.33 (18.12),9006.67 (11.09),12494.0 (5.66),12711.33 (22.31),8145.33 (50.68),13481.67 (34.5),8333.0 (56.79),14929.33 (16.11)
843.33 (8.22),803.67 (0.47),328.67 (1.89),669.67 (0.94),665.33 (0.47),785.33 (3.3),843.67 (1.89),630.67 (7.04),802.67 (0.94)
787.67 (2.62),795.0 (1.63),330.0 (3.27),656.67 (0.94),664.67 (0.47),486.33 (0.94),808.67 (0.47),629.67 (8.5),775.67 (0.94)
2707.67 (16.34),2724.33 (1.25),1430.0 (2.16),1942.67 (0.47),1798.0 (3.74),2324.33 (9.84),2490.0 (1.63),1651.0 (14.99),2646.67 (0.47)
2602.0 (11.34),2629.0 (7.79),1499.0 (22.23),1939.0 (8.49),1750.33 (3.3),1687.67 (42.59),2341.0 (4.55),1659.67 (15.92),2600.33 (0.47)
4919.33 (14.82),5076.0 (21.46),2965.0 (8.52),4613.67 (4.5),4457.67 (7.72),4603.67 (40.8),5176.0 (15.51),2676.67 (50.81),5365.33 (36.46)
4444.33 (7.85),4629.0 (12.83),3111.33 (15.84),4213.33 (2.36),4347.67 (4.71),2831.0 (14.17),4600.33 (10.62),2667.67 (12.04),5000.67 (10.96)
